2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Breathe - Faith Hill,Hanging by a Moment - Lifehouse,How You Remind Me - Nickelback,In da Club - 50 Cent,Yeah! - Usher featuring Lil Jon and Ludacris,We Belong Together - Mariah Carey,Bad Day - Daniel Powter,Irreplaceable - Beyoncé,Low - Flo Rida featuring T-Pain,Boom Boom Pow - The Black Eyed Peas,Tik Tok - Ke$ha,Rolling in the Deep - Adele,Somebody That I Used to Know - Gotye featuring Kimbra,Thrift Shop - Macklemore and Ryan Lewis featuring Wanz,Happy - Pharrell Williams
Smooth - Santana featuring Rob Thomas,Fallin' - Alicia Keys,Foolish - Ashanti,Ignition (Remix) - R. Kelly,Burn - Usher,Hollaback Girl - Gwen Stefani,Temperature - Sean Paul,Umbrella - Rihanna featuring Jay-Z,Bleeding Love - Leona Lewis,Poker Face - Lady Gaga,Need You Now - Lady Antebellum,Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock,Call Me Maybe - Carly Rae Jepsen,Blurred Lines - Robin Thicke featuring T.I. and Pharrell Williams,Dark Horse - Katy Perry featuring Juicy J
Maria Maria - Santana featuring The Product G&B,All for You - Janet,Hot in Herre - Nelly,Get Busy - Sean Paul,If I Ain't Got You - Alicia Keys,Let Me Love You - Mario,Promiscuous - Nelly Furtado featuring Timbaland,The Sweet Escape - Gwen Stefani featuring Akon,No One - Alicia Keys,Just Dance - Lady Gaga featuring Colby O'Donis,Hey Soul Sister - Train,Firework - Katy Perry,We Are Young - fun. featuring Janelle Monáe,Radioactive - Imagine Dragons,All of Me - John Legend
I Wanna Know - Joe,Drops of Jupiter (Tell Me) - Train,Dilemma - Nelly featuring Kelly Rowland,Crazy in Love - Beyoncé featuring Jay-Z,This Love - Maroon 5,Since U Been Gone - Kelly Clarkson,You're Beautiful - James Blunt,Big Girls Don't Cry - Fergie,Lollipop - Lil Wayne featuring Static Major,I Gotta Feeling - The Black Eyed Peas,California Gurls - Katy Perry featuring Snoop Dogg,E.T. - Katy Perry featuring Kanye West,Payphone - Maroon 5 featuring Wiz Khalifa,Harlem Shake - Baauer,Fancy - Iggy Azalea featuring Charli XCX
Everything You Want - Vertical Horizon,I'm Real - Jennifer Lopez featuring Ja Rule,Wherever You Will Go - The Calling,When I'm Gone - 3 Doors Down,The Way You Move - Outkast featuring Sleepy Brown,1 2 Step - Ciara and Missy Elliott,Hips Don't Lie - Shakira featuring Wyclef Jean,Buy U a Drank (Shawty Snappin') - T-Pain featuring Yung Joc,Apologize - Timbaland featuring OneRepublic,Love Story - Taylor Swift,OMG - Usher featuring will.i.am,Give Me Everything - Pitbull featuring Ne-Yo Afrojack and Nayer,Lights - Ellie Goulding,Can't Hold Us - Macklemore and Ryan Lewis featuring Ray Dalton,Counting Stars - OneRepublic
Say My Name - Destiny's Child,If You're Gone - Matchbox Twenty,A Thousand Miles - Vanessa Carlton,Unwell - Matchbox Twenty,The Reason - Hoobastank,Gold Digger - Kanye West featuring Jamie Foxx,Unwritten - Natasha Bedingfield,Before He Cheats - Carrie Underwood,No Air - Jordin Sparks and Chris Brown,Right Round - Flo Rida,Airplanes - B.o.B featuring Hayley Williams,Grenade - Bruno Mars,Glad You Came - The Wanted,Mirrors - Justin Timberlake,Talk Dirty - Jason Derulo featuring 2 Chainz
I Knew I Loved You - Savage Garden,Let Me Blow Ya Mind - Eve featuring Gwen Stefani,In the End - Linkin Park,Right Thurr - Chingy,I Don't Wanna Know - Mario Winans featuring Enya and P. Diddy,Boulevard of Broken Dreams - Green Day,Crazy - Gnarls Barkley,Hey There Delilah - Plain White T's,Love Song - Sara Bareilles,I'm Yours - Jason Mraz,Love the Way You Lie - Eminem featuring Rihanna,Fuck You - Cee Lo Green,Stronger (What Doesn't Kill You) - Kelly Clarkson,Just Give Me a Reason - Pink featuring Nate Ruess,Rude - Magic!
Amazed - Lonestar,Thank You - Dido,What's Luv? - Fat Joe featuring Ashanti,Miss You - Aaliyah,Hey Ya! - Outkast,Candy Shop - 50 Cent featuring Olivia,Ridin' - Chamillionaire featuring Krayzie Bone,I Wanna Love You - Akon featuring Snoop Dogg,Love in This Club - Usher featuring Young Jeezy,Single Ladies (Put a Ring on It) - Beyoncé,Bad Romance - Lady Gaga,Super Bass - Nicki Minaj,We Found Love - Rihanna featuring Calvin Harris,When I Was Your Man - Bruno Mars,All About That Bass - Meghan Trainor
Bent - Matchbox Twenty,Again - Lenny Kravitz,U Got It Bad - Usher,Picture - Kid Rock featuring Sheryl Crow,Goodies - Ciara featuring Petey Pablo,Don't Cha - The Pussycat Dolls featuring Busta Rhymes,SexyBack - Justin Timberlake featuring Timbaland,Say It Right - Nelly Furtado,With You - Chris Brown,Heartless - Kanye West,Dynamite - Taio Cruz,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Starships - Nicki Minaj,Cruise - Florida Georgia Line featuring Nelly,Problem - Ariana Grande featuring Iggy Azalea
He Wasn't Man Enough - Toni Braxton,Independent Women - Destiny's Child,Blurry - Puddle of Mudd,Bring Me to Life - Evanescence featuring Paul McCoy,Lean Back - Terror Squad,Behind These Hazel Eyes - Kelly Clarkson,Check on It - Beyoncé featuring Slim Thug,Glamorous - Fergie featuring Ludacris,Forever - Chris Brown,Gives You Hell - The All-American Rejects,Break Your Heart - Taio Cruz featuring Ludacris,Just Can't Get Enough - The Black Eyed Peas,What Makes You Beautiful - One Direction,Roar - Katy Perry,Stay with Me - Sam Smith
Higher - Creed,Hit 'Em Up Style (Oops!) - Blu Cantrell,Complicated - Avril Lavigne,Get Low - Lil Jon & The East Side Boyz featuring Ying Yang Twins,Tipsy - J-Kwon,Disco Inferno - 50 Cent,Be Without You - Mary J. Blige,Don't Matter - Akon,Sexy Can I - Ray J featuring Yung Berg,You Belong with Me - Taylor Swift,Nothin' on You - B.o.B featuring Bruno Mars,On the Floor - Jennifer Lopez featuring Pitbull,Wild Ones - Flo Rida featuring Sia,Locked Out of Heaven - Bruno Mars,Timber - Pitbull featuring Kesha
Try Again - Aaliyah,It Wasn't Me - Shaggy featuring Rikrok,Always on Time - Ja Rule featuring Ashanti,Baby Boy - Beyoncé featuring Sean Paul,Confessions Part II - Usher,You and Me - Lifehouse,Grillz - Nelly Paul Wall and Ali & Gipp,Girlfriend - Avril Lavigne,Take a Bow - Rihanna,Dead and Gone - T.I. featuring Justin Timberlake,I Like It - Enrique Iglesias featuring Pitbull,S&M - Rihanna,Set Fire to the Rain - Adele,Ho Hey - The Lumineers,Pompeii - Bastille
Jumpin' Jumpin' - Destiny's Child,Stutter - Joe featuring Mystikal,Ain't It Funny - Jennifer Lopez featuring Ja Rule,Shake Ya Tailfeather - Nelly P. Diddy and Murphy Lee,Slow Motion - Juvenile featuring Soulja Slim,Don't Phunk with My Heart - The Black Eyed Peas,Over My Head (Cable Car) - The Fray,Makes Me Wonder - Maroon 5,Viva la Vida - Coldplay,You Found Me - The Fray,BedRock - Young Money featuring Lloyd,Pumped Up Kicks - Foster the People,Sexy and I Know It - LMFAO,Stay - Rihanna featuring Mikky Ekko,Shake It Off - Taylor Swift
Thong Song - Sisqó,It's Been Awhile - Staind,The Middle - Jimmy Eat World,21 Questions - 50 Cent featuring Nate Dogg,Freek-a-Leek - Petey Pablo,Lose Control - Missy Elliott featuring Ciara and Fatman Scoop,Me & U - Cassie,Party Like a Rockstar - Shop Boyz,I Kissed a Girl - Katy Perry,Use Somebody - Kings of Leon,In My Head - Jason Derülo,Last Friday Night (T.G.I.F.) - Katy Perry,Some Nights - fun.,Get Lucky - Daft Punk featuring Pharrell Williams,Am I Wrong - Nico & Vinz
Kryptonite - 3 Doors Down,U Remind Me - Usher,I Need a Girl (Part One) - P. Diddy featuring Usher and Loon,All I Have - Jennifer Lopez featuring LL Cool J,Here Without You - 3 Doors Down,Shake It Off - Mariah Carey,Buttons - Pussycat Dolls featuring Snoop Dogg,Smack That - Akon featuring Eminem,Whatever You Like - T.I.,Knock You Down - Keri Hilson featuring Kanye West and Ne-Yo,Rude Boy - Rihanna,Just the Way You Are - Bruno Mars,Wide Awake - Katy Perry,Royals - Lorde,Turn Down for What - DJ Snake and Lil Jon
There You Go - Pink,Where the Party At - Jagged Edge featuring Nelly,U Don't Have to Call - Usher,Beautiful - Christina Aguilera,Slow Jamz - Twista featuring Kanye West and Jamie Foxx,Mr. Brightside - The Killers,Run It! - Chris Brown featuring Juelz Santana,This Is Why I'm Hot - Mims,Disturbia - Rihanna,Blame It - Jamie Foxx featuring T-Pain,Telephone - Lady Gaga featuring Beyoncé,Tonight (I'm Lovin' You) - Enrique Iglesias featuring Ludacris and DJ Frank E,Good Feeling - Flo Rida,I Knew You Were Trouble - Taylor Swift,The Monster - Eminem featuring Rihanna
Music - Madonna,Angel - Shaggy,Family Affair - Mary J. Blige,I Know What You Want - Busta Rhymes and Mariah Carey featuring Flipmode Squad,Someday - Nickelback,Just a Lil Bit - 50 Cent,So Sick - Ne-Yo,It's Not Over - Daughtry,Don't Stop the Music - Rihanna,I Know You Want Me (Calle Ocho) - Pitbull,Teenage Dream - Katy Perry,Raise Your Glass - Pink,Whistle - Flo Rida,We Can't Stop - Miley Cyrus,Say Something - A Great Big World and Christina Aguilera
Doesn't Really Matter - Janet Jackson,Ride wit Me - Nelly featuring City Spud,I Need a Girl (Part Two) - P. Diddy featuring Ginuwine Loon and Mario Winans,I'm with You - Avril Lavigne,Naughty Girl - Beyoncé,Pon de Replay - Rihanna,It's Goin' Down - Yung Joc featuring Nitti,The Way I Are - Timbaland featuring Keri Hilson,Pocketful of Sunshine - Natasha Bedingfield,Live Your Life - T.I. featuring Rihanna,Just the Way You Are - Bruno Mars,Born This Way - Lady Gaga,One More Night - Maroon 5,Wrecking Ball - Miley Cyrus,Team - Lorde
What a Girl Wants - Christina Aguilera,Follow Me - Uncle Kracker,Gangsta Lovin' - Eve featuring Alicia Keys,Drift Away - Uncle Kracker featuring Dobie Gray,My Immortal - Evanescence,How We Do - The Game featuring 50 Cent,SOS - Rihanna,Fergalicious - Fergie featuring will.i.am,Kiss Kiss - Chris Brown featuring T-Pain,Kiss Me thru the Phone - Soulja Boy Tell 'Em featuring Sammie,Cooler Than Me - Mike Posner,Fuckin' Perfect - Pink,Drive By - Train,Wake Me Up! - Avicii,Let Her Go - Passenger
Back at One - Brian McKnight,Peaches & Cream - 112,My Sacrifice - Creed,Magic Stick - Lil' Kim featuring 50 Cent,Sunshine - Lil' Flip featuring Lea,Beverly Hills - Weezer,I Write Sins Not Tragedies - Panic! at the Disco,Crank That (Soulja Boy) - Soulja Boy Tell 'Em,Closer - Ne-Yo,Down - Jay Sean featuring Lil Wayne,Imma Be - The Black Eyed Peas,What's My Name? - Rihanna featuring Drake,The Motto - Drake featuring Lil Wayne,Suit & Tie - Justin Timberlake featuring Jay-Z,Royals - Lorde
Bye Bye Bye - N Sync,Drive - Incubus,Without Me - Eminem,P.I.M.P. - 50 Cent,Dirt Off Your Shoulder - Jay-Z,Oh - Ciara featuring Ludacris,Move Along - The All-American Rejects,Give It to Me - Timbaland featuring Nelly Furtado and Justin Timberlake,Bubbly - Colbie Caillat,The Climb - Miley Cyrus,Empire State of Mind - Jay-Z and Alicia Keys,Look at Me Now - Chris Brown featuring Lil Wayne and Busta Rhymes,Where Have You Been - Rihanna,Cups - Anna Kendrick,Let It Go - Idina Menzel
You Sang to Me - Marc Anthony,What Would You Do? - City High,Hero - Enrique Iglesias,Bump Bump Bump - B2K and P. Diddy,Move Ya Body - Nina Sky,Lonely No More - Rob Thomas,London Bridge - Fergie,What Goes Around... Comes Around - Justin Timberlake,Touch My Body - Mariah Carey,Best I Ever Had - Drake,DJ Got Us Fallin' in Love - Usher featuring Pitbull,Down on Me - Jeremih featuring 50 Cent,Everybody Talks - Neon Trees,Holy Grail - Jay Z featuring Justin Timberlake,Wake Me Up! - Avicii
I Need to Know - Marc Anthony,Survivor - Destiny's Child,All You Wanted - Michelle Branch,Into You - Fabolous featuring Tamia,Dip It Low - Christina Milian,Drop It Like It's Hot - Snoop Dogg featuring Pharrell,Dani California - Red Hot Chili Peppers,Cupid's Chokehold - Gym Class Heroes featuring Patrick Stump,4 Minutes - Madonna featuring Justin Timberlake and Timbaland,My Life Would Suck Without You - Kelly Clarkson,Billionaire - Travie McCoy featuring Bruno Mars,How to Love - Lil Wayne,Take Care - Drake featuring Rihanna,Scream & Shout - will.i.am featuring Britney Spears,Demons - Imagine Dragons
Get It On Tonite - Montell Jordan,Lady Marmalade - Christina Aguilera Lil' Kim Mýa and Pink,Get the Party Started - Pink,Can't Let You Go - Fabolous featuring Lil' Mo and Mike Shorey,My Boo - Usher and Alicia Keys,Hate It or Love It - The Game featuring 50 Cent,Snap Yo Fingers - Lil Jon featuring E-40 and Sean Paul,How to Save a Life - The Fray,So What - Pink,Halo - Beyoncé,Not Afraid - Eminem,Someone Like You - Adele,Titanium - David Guetta featuring Sia,Clarity - Zedd featuring Foxes,Story of My Life - One Direction
Incomplete - Sisqó,Ms. Jackson - OutKast,Hero - Chad Kroeger featuring Josey Scott,Mesmerize - Ja Rule featuring Ashanti,One Call Away - Chingy featuring J-Weav,Lovers & Friends - Lil Jon featuring Usher and Ludacris,Lean wit It Rock wit It - Dem Franchize Boyz,Home - Daughtry,Paralyzer - Finger Eleven,Hot n Cold - Katy Perry,Replay - Iyaz,Good Life - OneRepublic,I Won't Give Up - Jason Mraz,Sail - AWOLNATION,Chandelier - Sia
I Try - Macy Gray,Love Don't Cost a Thing - Jennifer Lopez,Wasting My Time - Default,Where Is the Love? - The Black Eyed Peas,Me Myself and I - Beyoncé,Soldier - Destiny's Child featuring T.I. and Lil Wayne,What Hurts the Most - Rascal Flatts,My Love - Justin Timberlake featuring T.I.,Clumsy - Fergie,Second Chance - Shinedown,Sexy Bitch - David Guetta featuring Akon,The Lazy Song - Bruno Mars,It Will Rain - Bruno Mars,Don't You Worry Child - Swedish House Mafia featuring John Martin,Black Widow - Iggy Azalea featuring Rita Ora
It's Gonna Be Me - N Sync,The Way You Love Me - Faith Hill,One Last Breath - Creed,The Game of Love - Santana featuring Michelle Branch,Turn Me On - Kevin Lyttle,Breakaway - Kelly Clarkson,How to Save a Life - The Fray,Stronger - Kanye West,I'm Yours - Jason Mraz,Circus - Britney Spears,Breakeven - The Script,Till the World Ends - Britney Spears,Mercy - Kanye West Big Sean Pusha T and 2 Chainz,Diamonds - Rihanna,Bang Bang - Jessie J Ariana Grande and Nicki Minaj
That's The Way It Is - Celine Dion,He Loves U Not - Dream,Whenever Wherever - Shakira,Lose Yourself - Eminem,The First Cut Is the Deepest - Sheryl Crow,Switch - Will Smith,Unfaithful - Rihanna,We Fly High - Jim Jones,Leavin' - Jesse McCartney,Day 'n' Nite - Kid Cudi,Your Love Is My Drug - Ke$ha,The Show Goes On - Lupe Fiasco,Boyfriend - Justin Bieber,I Love It - Icona Pop featuring Charli XCX,Latch - Disclosure featuring Sam Smith
Country Grammar (Hot Shit) - Nelly,Butterfly - Crazy Town,I'm Gonna Be Alright - Jennifer Lopez featuring Nas,Rock wit U (Awww Baby) - Ashanti,You Don't Know My Name - Alicia Keys,Let Me Hold You - Bow Wow featuring Omarion,Chasing Cars - Snow Patrol,U + Ur Hand - Pink,Dangerous - Kardinal Offishall featuring Akon,Party in the U.S.A. - Miley Cyrus,I Gotta Feeling - The Black Eyed Peas,The Edge of Glory - Lady Gaga,Party Rock Anthem - LMFAO featuring Lauren Bennett and GoonRock,Safe and Sound - Capital Cities,Maps - Maroon 5
Bring It All to Me - Blaque,Put It on Me - Ja Rule featuring Lil' Mo and Vita,Oh Boy - Cam'ron featuring Juelz Santana,Cry Me a River - Justin Timberlake,My Place - Nelly featuring Jaheim,Like You - Bow Wow featuring Ciara,Lips of an Angel - Hinder,Walk It Out - Unk,Tattoo - Jordin Sparks,Don't Trust Me - 3OH!3,Fireflies - Owl City,We R Who We R - Ke$ha,Too Close - Alex Clare,Treasure - Bruno Mars,Loyal - Chris Brown featuring Lil Wayne and French Montana Too Short or Tyga
Show Me the Meaning of Being Lonely - Backstreet Boys,Family Affair - Mary J. Blige,Heaven - DJ Sammy featuring Yanou and Do,How You Gonna Act Like That - Tyrese,Overnight Celebrity - Twista,Rich Girl - Gwen Stefani featuring Eve,Everytime We Touch - Cascada,Beautiful Girls - Sean Kingston,See You Again - Miley Cyrus,Run This Town - Jay-Z featuring Rihanna and Kanye West,Say Aah - Trey Songz featuring Fabolous,Black and Yellow - Wiz Khalifa,Part of Me - Katy Perry,The Way - Ariana Grande featuring Mac Miller,Best Day of My Life - American Authors
Hot Boyz - Missy Elliott featuring Nas Eve and Q-Tip,I Hope You Dance - Lee Ann Womack,Hey Baby - No Doubt featuring Bounty Killer,Rock Your Body - Justin Timberlake,Hotel - Cassidy featuring R. Kelly,My Humps - The Black Eyed Peas,Ain't No Other Man - Christina Aguilera,This Ain't a Scene It's an Arms Race - Fall Out Boy,Shake It - Metro Station,Let It Rock - Kevin Rudolf featuring Lil Wayne,Find Your Love - Drake,Tonight Tonight - Hot Chelle Rae,Young Wild & Free - Snoop Dogg and Wiz Khalifa featuring Bruno Mars,Started from the Bottom - Drake,Habits (Stay High) - Tove Lo
Back Here - BBMak,South Side - Moby featuring Gwen Stefani,Girlfriend - N Sync featuring Nelly,No Letting Go - Wayne Wonder,Numb - Linkin Park,Obsession (No Es Amor) - Frankie J featuring Baby Bash,Dance Dance - Fall Out Boy,Bartender - T-Pain featuring Akon,Stop and Stare - OneRepublic,Fire Burning - Sean Kingston,Alejandro - Lady Gaga,Blow - Ke$ha,We Are Never Ever Getting Back Together - Taylor Swift,Come & Get It - Selena Gomez,Summer - Calvin Harris
It Feels So Good - Sonique,Don't Tell Me - Madonna,Just a Friend 2002 - Mario,Frontin' - Pharrell featuring Jay-Z,Diary - Alicia Keys featuring Tony! Toni! Toné!,Caught Up - Usher,Gold Digger - Kanye West featuring Jamie Foxx,Pop Lock & Drop It - Huey,Take You There - Sean Kingston,Whatcha Say - Jason Derulo,Ridin' Solo - Jason Derülo,Lighters - Bad Meets Evil featuring Bruno Mars,As Long as You Love Me - Justin Bieber featuring Big Sean,Hold On We're Going Home - Drake featuring Majid Jordan,Boom Clap - Charli XCX
Absolutely (Story of a Girl) - Nine Days,Get Ur Freak On - Missy Elliott,Soak Up the Sun - Sheryl Crow,Landslide - Dixie Chicks,She Will Be Loved - Maroon 5,Listen to Your Heart - DHT featuring Edmee,Money Maker - Ludacris featuring Pharrell,Runaway Love - Ludacris featuring Mary J. Blige,Paper Planes - M.I.A.,LoveGame - Lady Gaga,Just a Dream - Nelly,If I Die Young - The Band Perry,Turn Me On - David Guetta featuring Nicki Minaj,Daylight - Maroon 5,Drunk in Love - Beyoncé featuring Jay Z
With Arms Wide Open - Creed,Crazy - K-Ci & JoJo,Don't Let Me Get Me - Pink,Work It - Missy Elliott,White Flag - Dido,Scars - Papa Roach,Ms. New Booty - Bubba Sparxxx featuring Ying Yang Twins,Rockstar - Nickelback,Hot n Cold - Katy Perry,Waking Up in Vegas - Katy Perry,How Low - Ludacris,Stereo Hearts - Gym Class Heroes featuring Adam Levine,Moves like Jagger - Maroon 5 featuring Christina Aguilera,Feel This Moment - Pitbull featuring Christina Aguilera,Anaconda - Nicki Minaj
Be with You - Enrique Iglesias,Fill Me In - Craig David,Nothin' - N.O.R.E.,03 Bonnie & Clyde - Jay-Z featuring Beyoncé,Heaven - Los Lonely Boys,Feel Good Inc. - Gorillaz,(When You Gonna) Give It Up to Me - Sean Paul featuring Keyshia Cole,Thnks fr th Mmrs - Fall Out Boy,Live Your Life - T.I. featuring Rihanna,Birthday Sex - Jeremih,Like a G6 - Far East Movement featuring The Cataracs and Dev,The Time (Dirty Bit) - The Black Eyed Peas,Blow Me (One Last Kiss) - Pink,Applause - Lady Gaga,Break Free - Ariana Grande featuring Zedd
Come On Over Baby (All I Want Is You) - Christina Aguilera,Someone to Call My Lover - Janet,Oops (Oh My) - Tweet featuring Missy Elliott,Don't Mess with My Man - Nivea featuring Jagged Edge,It's My Life - No Doubt,Let Me Go - 3 Doors Down,Photograph - Nickelback,What I've Done - Linkin Park,Bust It Baby (Part 2) - Plies featuring Ne-Yo,Sober - Pink,Carry Out - Timbaland featuring Justin Timberlake,Coming Home - Diddy – Dirty Money featuring Skylar Grey,Good Time - Owl City and Carly Rae Jepsen,One More Night - Maroon 5,Bailando - Enrique Iglesias featuring Descemer Bueno and Gente de Zona
No More - Ruff Endz,With Arms Wide Open - Creed,A Moment Like This - Kelly Clarkson,So Gone - Monica,Pieces of Me - Ashlee Simpson,Holiday - Green Day,Because of You - Kelly Clarkson,Summer Love - Justin Timberlake,American Boy - Estelle featuring Kanye West,Womanizer - Britney Spears,Haven't Met You Yet - Michael Bublé,Hey Baby (Drop It to the Floor) - Pitbull featuring T-Pain,Give Your Heart a Break - Demi Lovato,Love Me - Lil Wayne featuring Drake and Future,Burn - Ellie Goulding
All The Small Things - Blink 182,Case of the Ex - Mýa,Addictive - Truth Hurts featuring Rakim,Air Force Ones - Nelly featuring St. Lunatics,Leave (Get Out) - JoJo,Sugar We're Goin Down - Fall Out Boy,Stickwitu - Pussycat Dolls,You - Lloyd featuring Lil Wayne,Got Money - Lil Wayne featuring T-Pain,Whatever You Like - T.I.,Club Can't Handle Me - Flo Rida featuring David Guetta,Only Girl (In the World) - Rihanna,Niggas in Paris - Jay-Z and Kanye West,My Songs Know What You Did in the Dark (Light Em Up) - Fall Out Boy,Wiggle - Jason Derulo featuring Snoop Dogg
The Way You Love Me - Faith Hill,All or Nothing - O-Town,Happy - Ashanti,Never Leave You (Uh Oooh Uh Oooh) - Lumidee,Milkshake - Kelis,Grind with Me - Pretty Ricky,I'm 'n Luv (Wit a Stripper) - T-Pain featuring Mike Jones,Wait for You - Elliott Yamin,Our Song - Taylor Swift,Obsessed - Mariah Carey,Down - Jay Sean featuring Lil Wayne,6 Foot 7 Foot - Lil Wayne featuring Cory Gunz,The One That Got Away - Katy Perry,Fuckin' Problems - ASAP Rocky featuring Drake 2 Chainz and Kendrick Lamar,Rather Be - Clean Bandit featuring Jess Glynne
I Turn To You - Christina Aguilera,Bootylicious - Destiny's Child,No Such Thing - John Mayer,Beautiful - Snoop Dogg featuring Pharrell and Charlie Wilson,Splash Waterfalls - Ludacris,Run It! - Chris Brown featuring Juelz Santana,My Humps - The Black Eyed Peas,Last Night - Diddy featuring Keyshia Cole,Damaged - Danity Kane,Mad - Ne-Yo,Bulletproof - La Roux,Just a Kiss - Lady Antebellum,Feel So Close - Calvin Harris,Beauty and a Beat - Justin Bieber featuring Nicki Minaj,Don't Tell 'Em - Jeremih featuring YG
Never Let You Go - Third Eye Blind,I'm like a Bird - Nelly Furtado,Just Like a Pill - Pink,Gossip Folks - Missy Elliott featuring Ludacris,Jesus Walks - Kanye West,Photograph - Nickelback,Where'd You Go - Fort Minor featuring Holly Brook and Jonah Matranga,Make It Rain - Fat Joe featuring Lil Wayne,A Milli - Lil Wayne,Good Girls Go Bad - Cobra Starship featuring Leighton Meester,Whatcha Say - Jason Derülo,Dirt Road Anthem - Jason Aldean,Someone like You - Adele,Same Love - Macklemore and Ryan Lewis featuring Mary Lambert,Show Me - Kid Ink featuring Chris Brown
I Need You - LeAnn Rimes,Kryptonite - 3 Doors Down,Down 4 U - Ja Rule featuring Ashanti Charli Baltimore and Vita,Miss Independent - Kelly Clarkson,Locked Up - Akon featuring Styles P,Lonely - Akon,Yo (Excuse Me Miss) - Chris Brown,Make Me Better - Fabolous featuring Ne-Yo,Sorry - Buckcherry,Love Lockdown - Kanye West,Baby - Justin Bieber featuring Ludacris,Dynamite - Taio Cruz,Scream - Usher,Sweet Nothing - Calvin Harris featuring Florence Welch,Wrecking Ball - Miley Cyrus
Thank God I Found You - Mariah Carey featuring Joe and 98 Degrees,Fiesta - R. Kelly featuring Jay-Z,Can't Get You Out of My Head - Kylie Minogue,Calling All Angels - Train,Stand Up - Ludacris featuring Shawnna,Collide - Howie Day,Walk Away - Kelly Clarkson,Ice Box - Omarion featuring Timbaland,Independent - Webbie featuring Lil Boosie and Lil Phat,So What - Pink,Whataya Want from Me - Adam Lambert,No Hands - Waka Flocka Flame featuring Wale and Roscoe Dash,Rack City - Tyga,Summertime Sadness - Lana Del Rey and Cédric Gervais,Not a Bad Thing - Justin Timberlake
Let's Get Married - Jagged Edge,When It's Over - Sugar Ray,Superman (It's Not Easy) - Five for Fighting,Damn! - YoungBloodZ featuring Lil Jon,Suga Suga - Baby Bash featuring Frankie J,Wake Me Up When September Ends - Green Day,Laffy Taffy - D4L,Lips of an Angel - Hinder,Can't Believe It - T-Pain featuring Lil Wayne,Hotel Room Service - Pitbull,Mine - Taylor Swift,I Wanna Go - Britney Spears,Domino - Jessie J,Home - Phillip Phillips,Roar - Katy Perry
My Love Is Your Love - Whitney Houston,Jaded - Aerosmith,Cleanin' Out My Closet - Eminem,This Is the Night - Clay Aiken,All Falls Down - Kanye West featuring Syleena Johnson,Slow Down - Bobby Valentino,What You Know - T.I.,Waiting on the World to Change - John Mayer,Like You'll Never See Me Again - Alicia Keys,Crack a Bottle - Eminem Dr. Dre and 50 Cent,Only Girl (In the World) - Rihanna,I'm on One - DJ Khaled featuring Drake Rick Ross and Lil Wayne,Gangnam Style - PSY,It's Time - Imagine Dragons,Ain't It Fun - Paramore
Then The Morning Comes - Smash Mouth,Promise - Jagged Edge,Halfcrazy - Musiq Soulchild,Your Body Is a Wonderland - John Mayer,Toxic - Britney Spears,Over and Over - Nelly featuring Tim McGraw,Dirty Little Secret - The All-American Rejects,Lost Without U - Robin Thicke,Teardrops on My Guitar - Taylor Swift,If I Were a Boy - Beyoncé,Live Like We're Dying - Kris Allen,You Make Me Feel... - Cobra Starship featuring Sabi,International Love - Pitbull featuring Chris Brown,Power Trip - J. Cole featuring Miguel,The Man - Aloe Blacc
Blue (Da Ba Dee) - Eiffel 65,Missing You - Case,Lights Camera Action! - Mr. Cheeks,Headstrong - Trapt,Salt Shaker - Ying Yang Twins featuring Lil Jon & the East Side Boyz,Some Cut - Trillville featuring Cutty,Savin' Me - Nickelback,I'm a Flirt - R. Kelly featuring T.I. and T-Pain,When I Grow Up - Pussycat Dolls,Turnin Me On - Keri Hilson featuring Lil Wayne,Hard - Rihanna featuring Jeezy,Yeah 3x - Chris Brown,Home - Phillip Phillips,Girl on Fire - Alicia Keys,This Is How We Roll - Florida Georgia Line featuring Luke Bryan
Desert Rose - Sting featuring Cheb Mami,Differences - Ginuwine,Still Fly - Big Tymers,In Those Jeans - Ginuwine,With You - Jessica Simpson,Get It Poppin' - Fat Joe featuring Nelly,Don't Forget About Us - Mariah Carey,If Everyone Cared - Nickelback,Sexual Eruption - Snoop Dogg,I Hate This Part - Pussycat Dolls,Young Forever - Jay-Z featuring Mr Hudson,Moment 4 Life - Nicki Minaj featuring Drake,Without You - David Guetta featuring Usher,Heart Attack - Demi Lovato,Classic - MKTO